region,state
Bangalore,Karnataka
New Delhi,Delhi
Vadodara,Gujarat
Mumbai,Maharashtra
IND - Other,Other
Chandigarh,Chandigarh
Hyderabad,Telangana
Coimbatore,Tamil Nadu
Bhubaneswar,Odisha
Pune,Maharashtra
Kolkata,West Bengal
Jaipur,Rajasthan
Chennai,Tamil Nadu
Ahmedabad,Gujarat
Guwahati,Assam
Goa,Goa
Mangalore,Karnataka
Delhi,Delhi
Cochin,Kerala
Ghaziabad,Uttar Pradesh
Trivandrum,Kerala
Haryana,Haryana
Faridabad,Haryana
Nagpur,Maharashtra
Vijayawada,Andhra Pradesh
Mysore,Karnataka
Vellore,Tamil Nadu
Secunderabad,Telangana
Madhapur,Telangana
Tamil Nadu,Tamil Nadu
Indore,Madhya Pradesh
Kochi,Kerala
Mohali,Punjab
Thiruvananthapuram,Kerala
Thane,Maharashtra
Aurangabad,Maharashtra
Ernakulam,Kerala
Uttar Pradesh,Uttar Pradesh
Jabalpur,Madhya Pradesh
Madurai,Tamil Nadu
Ludhiana,Punjab
Belgaum,Karnataka
Jodhpur,Rajasthan
NA,Arunachal Pradesh
NA,Assam
NA,Karnataka
NA,Manipur
NA,Meghalaya
NA,Mizoram
NA,Nagaland
NA,Punjab
NA,Rajasthan
NA,Sikkim
NA,Tripura
NA,Uttarakhand
NA,Telangana
NA,Bihar
NA,Kerala
NA,Madhya Pradesh
NA,Andaman & Nicobar
NA,Gujarat
NA,Lakshadweep
NA,Odisha
NA,Dadra and Nagar Haveli and Daman and Diu
NA,Ladakh
Jammu & Kashmir,Jammu & Kashmir
NA,Chhattisgarh
NA,Himachal Pradesh
NA,Jharkhand
NA,West Bengal
NA,Andhra Pradesh
NA,Puducherry
NA,Maharashtra
